Sum(Awards),Sum(Disciplines),Unit
30,748,2
35,1097,3
60,711,4
620,691,5
81,669,6
82,794,7
87,638,8
56,547,9
47,383,10
571,426,11
63,484,12
26,456,13
1,143,14
15,472,15
24,436,16
39,416,17
27,341,18
42,758,19
39,519,20
22,344,21
1,182,22
46,643,23
2,126,24
21,299,25
28,420,26
8,18,27
43,187,30
0,179,31
0,0,33
0,0,34
15,267,35
3,148,36
0,28,38
0,28,40
0,1,41
4,48,42
0,0,44
0,0,45
0,0,46
0,0,47
0,0,48
0,26,49
0,7,50
0,2,51
0,3,52
0,7,53
0,0,54
1,33,55
0,0,58
1,10,59
0,0,60
0,0,61
0,6,68
2,11,69
0,0,70
0,0,71
2,7,72
1,2,74
1,27,75
0,0,76
0,0,78
3,5,79
238,83,80
0,0,81
0,38,82
26,97,83
6,8,84
1,30,85
7,6,86
2,6,87
0,0,88
5,1,90
0,0,92
0,18,93
0,0,94
0,2,96
1,0,99
0,0,100
0,2,104
8,24,105
7,20,106
12,66,107
0,0,109
0,0,111
5,108,112
0,5,113
0,0,114
0,13,115
0,0,116
0,89,117
0,18,118
6,76,119
0,1,121
0,12,122
0,8,123
0,1,124
2,5,126
0,0,127
1,1,128
0,0,129
0,5,130
2,26,131
3,66,132
0,0,133
1,16,134
0,0,135
2,240,136
0,2,137
0,4,138
0,6,140
0,41,141
6,72,142
0,0,143
0,1,144
9,8,145
0,17,146
13,18,148
108,313,149
22,26,151
10,75,152
80,134,153
4,20,155
2,2,156
0,3,157
0,2,158
1,2,160
0,1,164
0,2,165
2,16,168
1,5,169
0,228,170
13,74,171
0,76,172
26,42,173
31,54,174
12,40,175
0,1,177
6,26,178
35,31,179
1,29,180
0,47,181
3,70,182
21,40,183
1,6,188
1,12,189
1,54,191
1,14,192
3,14,193
0,33,194
1,22,198
0,6,199
2,64,200
0,0,202
0,0,203
9,19,204
0,40,206
54,358,208
0,2,210
0,0,211
60,395,212
0,2,213
0,1,214
31,308,215
0,1,216
0,1,217
0,67,218
0,1,219
0,2,220
2,73,221
0,4,222
0,1,223
499,500,225
0,5,226
3,3,228
0,12,229
0,62,232
0,0,234
0,0,235
0,60,236
0,0,238
0,1,241
0,0,245
0,0,252
0,0,253
0,0,258
77,390,
