district,year,ratio
1,1983,100
1,1984,0
1,1985,33.33
1,1986,0
1,1987,25
1,1988,50
1,1989,18.18
1,1990,25
1,1991,20
1,1992,12.31
1,1993,15.09
1,1994,10.71
1,1995,8.16
1,1996,4.76
1,1997,12.2
1,1998,10.34
1,1999,3.92
1,2000,1.22
1,2001,5.56
1,2002,11.69
1,2003,12.5
1,2004,4
1,2005,16.42
1,2006,12.73
1,2007,12.5
1,2008,12.9
1,2009,3.85
1,2010,2.94
1,2011,0
1,2012,0
1,2013,16.67
1,2014,8.33
1,2015,33.33
1,2016,0
2,1972,100
2,1981,0
2,1982,0
2,1983,20
2,1984,8.33
2,1985,50
2,1986,7.69
2,1987,26.32
2,1988,28.57
2,1989,7.64
2,1990,14.74
2,1991,11.76
2,1992,15.13
2,1993,12.04
2,1994,7.82
2,1995,11.72
2,1996,12.5
2,1997,10.32
2,1998,17.62
2,1999,8.76
2,2000,15.03
2,2001,5.09
2,2002,11.17
2,2003,5.38
2,2004,8.09
2,2005,12.5
2,2006,5.04
2,2007,4.03
2,2008,3.38
2,2009,5.44
2,2010,7.41
2,2011,7.41
2,2012,5.36
2,2013,9.09
2,2014,4.88
2,2015,0
2,2016,0
3,1979,0
3,1980,0
3,1981,75
3,1982,0
3,1983,100
3,1984,0
3,1985,12.5
3,1986,7.14
3,1987,20
3,1988,38.89
3,1989,9.09
3,1990,10.64
3,1991,11.53
3,1992,11.96
3,1993,8.93
3,1994,12.24
3,1995,15.09
3,1996,8.59
3,1997,9.97
3,1998,9.94
3,1999,7.74
3,2000,6.7
3,2001,10.43
3,2002,8.1
3,2003,2.25
3,2004,6
3,2005,8.15
3,2006,6.52
3,2007,7.49
3,2008,3.75
3,2009,2.84
3,2010,3.82
3,2011,1.79
3,2012,2.96
3,2013,1.97
3,2014,3.19
3,2015,0
3,2016,0
4,1979,0
4,1980,0
4,1981,50
4,1982,0
4,1983,50
4,1984,0
4,1985,20
4,1986,0
4,1987,66.67
4,1988,11.11
4,1989,11.36
4,1990,14.29
4,1991,8.14
4,1992,11.76
4,1993,9.49
4,1994,9.66
4,1995,5.4
4,1996,6.89
4,1997,7.76
4,1998,9.45
4,1999,4.81
4,2000,3.76
4,2001,4.84
4,2002,5.8
4,2003,5.69
4,2004,2.82
4,2005,7.89
4,2006,1.98
4,2007,2.64
4,2008,2.53
4,2009,2.51
4,2010,4.49
4,2011,3.48
4,2012,7.33
4,2013,5.66
4,2014,6.17
4,2015,5.41
4,2016,0
5,1981,0
5,1982,0
5,1983,66.67
5,1984,100
5,1985,33.33
5,1986,0
5,1987,80
5,1988,25
5,1989,9.92
5,1990,16.3
5,1991,13.39
5,1992,11.43
5,1993,10.85
5,1994,8.39
5,1995,7.47
5,1996,11.51
5,1997,7.61
5,1998,6.55
5,1999,5.25
5,2000,5.21
5,2001,8.53
5,2002,3.57
5,2003,4.96
5,2004,4.72
5,2005,10.92
5,2006,10.05
5,2007,6.88
5,2008,4.89
5,2009,2.92
5,2010,2.63
5,2011,5.38
5,2012,11.89
5,2013,5.21
5,2014,1.98
5,2015,0
5,2016,0
6,1980,100
6,1981,0
6,1983,0
6,1984,25
6,1985,0
6,1986,11.76
6,1987,0
6,1988,30
6,1989,10.99
6,1990,15.12
6,1991,13.01
6,1992,14.2
6,1993,10.88
6,1994,8.64
6,1995,8.41
6,1996,10.37
6,1997,11.53
6,1998,11.8
6,1999,9.12
6,2000,7.17
6,2001,6.28
6,2002,4.05
6,2003,7.02
6,2004,4.44
6,2005,8.33
6,2006,11.32
6,2007,2.23
6,2008,1.16
6,2009,2.44
6,2010,1.19
6,2011,5.98
6,2012,4.09
6,2013,4.76
6,2014,3.7
6,2015,3.64
6,2016,0
7,1979,0
7,1981,100
7,1982,0
7,1983,33.33
7,1984,0
7,1985,0
7,1986,0
7,1987,9.09
7,1988,4
7,1989,3.14
7,1990,6.96
7,1991,9.22
7,1992,8.05
7,1993,10.29
7,1994,11.31
7,1995,11.9
7,1996,7.34
7,1997,7.05
7,1998,7.38
7,1999,5.42
7,2000,5.39
7,2001,6.86
7,2002,5.92
7,2003,4.91
7,2004,3.03
7,2005,4.35
7,2006,5.49
7,2007,5.45
7,2008,2.55
7,2009,3.83
7,2010,5.61
7,2011,2.31
7,2012,8.25
7,2013,2.35
7,2014,4.94
7,2015,3.33
7,2016,0
8,1980,100
8,1981,0
8,1982,0
8,1983,0
8,1984,0
8,1985,0
8,1986,20
8,1987,12.5
8,1988,15.38
8,1989,8.82
8,1990,8.62
8,1991,11.8
8,1992,9.64
8,1993,6.35
8,1994,6.9
8,1995,5.68
8,1996,6.44
8,1997,3.9
8,1998,7.21
8,1999,1.32
8,2000,2.04
8,2001,3.31
8,2002,2.93
8,2003,2.87
8,2004,4.37
8,2005,11.4
8,2006,6.21
8,2007,2.99
8,2008,2.41
8,2009,2.72
8,2010,3.45
8,2011,0
8,2012,5.75
8,2013,5.56
8,2014,5.56
8,2015,11.54
8,2016,0
9,1979,100
9,1982,0
9,1983,0
9,1984,0
9,1985,0
9,1986,33.33
9,1987,16.67
9,1988,16.67
9,1989,6.35
9,1990,3.74
9,1991,7.32
9,1992,9.47
9,1993,6.12
9,1994,6.39
9,1995,4.44
9,1996,3.33
9,1997,4.38
9,1998,5.36
9,1999,3.93
9,2000,1.48
9,2001,4.15
9,2002,6.77
9,2003,1.68
9,2004,3.23
9,2005,4.2
9,2006,3.73
9,2007,0
9,2008,3.3
9,2009,2.07
9,2010,0
9,2011,0
9,2012,2.53
9,2013,0
9,2014,0
9,2015,5.88
10,1982,0
10,1983,16.67
10,1985,0
10,1986,75
10,1987,33.33
10,1988,35
10,1989,10.57
10,1990,10.58
10,1991,8.4
10,1992,6.31
10,1993,12.24
10,1994,9.69
10,1995,8.66
10,1996,5.68
10,1997,4.23
10,1998,3.42
10,1999,5.24
