gender,race,rank,interactions,outcomes,misconducts,violences,primary_cause,total_settlement
M,White,Police Officer,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,5000000.00
M,Hispanic,Police Officer,{Stop and frisk},"","{Pattern/practice of misconduct,False arrest or report,Excessive force}",{Physical force},Excessive force/minor,100000.00
M,White,Police Officer as Detective,{Stop and frisk},"","{Pattern/practice of misconduct,False arrest or report,Excessive force}",{Physical force},Excessive force/minor,100000.00
M,Hispanic,Police Officer,{Stop and frisk},"","{Pattern/practice of misconduct,False arrest or report,Excessive force}",{Physical force},Excessive force/minor,100000.00
M,Asian/Pacific,Lieutenant of Police,"",{Killed by officer},"{Excessive force,Shooting}",{Gun},Excessive force/serious,100000.00
M,Black,Lieutenant of Police,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
F,White,Police Officer,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
M,Asian/Pacific,Sergeant of Police,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
M,Black,Police Officer as Detective,{Lock-up},"","{Pattern/practice of misconduct,Excessive force,Failure to provide medical care}",{Physical force},Excessive force/minor,100000.00
F,White,Police Officer,{Traffic stop},{Drug charges},"{Illegal search/seizure,False arrest or report}","",Illegal search/seizure,40000.00
M,Hispanic,Police Officer,{Traffic stop},{Drug charges},"{Illegal search/seizure,False arrest or report}","",Illegal search/seizure,40000.00
M,White,Police Officer,"{Lock-up,Traffic stop}",{Other charges filed},"{Excessive force,Sexual harassment/abuse,False arrest or report}",{Physical force},False arrest,25000.00
M,Asian/Pacific,Police Officer,"{Lock-up,Traffic stop}",{Other charges filed},"{Excessive force,Sexual harassment/abuse,False arrest or report}",{Physical force},False arrest,25000.00
M,Black,Police Officer,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,155000.00
M,White,Captain of Police,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,155000.00
M,White,Police Officer,"","{Hospitalized,Other charges filed,Resisting or obstructing arrest charges,Assault or battery to an officer charges}","{Excessive force,False arrest or report}",{Physical force},False arrest,155000.00
