,summary,rank,years_on_force,disciplined,category,allegation_name,verbal_abuse,verbal_abuse_weight
0,"On October 4, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a The Office of Professional Standards), regarding an incident occurring in the 8th District, on October 3, 2006, involving five on-duty Chicago Police Department (CPD) officers (Officers A, B, C, D, and E) and one on-duty CPD commander (Commander F). It was alleged that Officer A, who was off-duty, directed profanity at the complainant and his son; pointed a weapon at the complainant and his son without justification; and twisted the complainants finger. It was also alleged that on August 13, 2009, Officer A provided an inaccurate statement to IPRA. In addition, it was alleged that Officers B, C, D, and E detained the complainant and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and improperly impounded the complainants vehicle. It was also alleged that Commander F detained the complainant without justification and improperly impounded the complainants vehicle. The complainant also filed a civil lawsuit in which he alleged that Officer A punched, slapped, kicked and kneed him and his son; detained him and his son without justification; and was intoxicated while off-duty. In the same lawsuit, the complainant also alleged that Officers B, C, D, and E detained him and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and properly impounded the complainants vehicle. In the same lawsuit, the complainant also alleged that Commander F detained him without justification and improperly impounded his vehicle. Based on statements from the accused officers, complainants, reports, audio-recordings and witnesses, IPRA recommended to SUSTAIN the allegations that Officer A directed profanity at the complainant and his son, and that he provided an inaccurate statement to IPRA. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A pointed a weapon at the complainant and his son; punched, slapped, kicked and kneed the complainant and his son; detained the complainant and his son without justification; properly impounded the complainants car; and twisted the complainants finger. Further, IPRA recommended a finding of UNFOUNDED for the allegation that Officer A was intoxicated while off-duty. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers B, C, D, and E detained the complainant and his son without justification and improperly impounded the complainants vehicle. Further, IPRA recommended to SUSTAIN the allegations that Officers B, C, D and E failed to perform a duty in that they left the complainants son, a minor, unattended when they took complainant into custody. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of UNFOUNDED for the allegation that Commander F detained the complainant without justification and improperly impounded his car. IPRA recommended that Officer A be suspended for sixty (60) days and that Officers B, C, D, and E each be suspended for three (3) days.",Sergeant of Police,15,True,Use Of Force,Unnecessary Display Of Weapon / Off Duty,1,4
2,"On October 4, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a The Office of Professional Standards), regarding an incident occurring in the 8th District, on October 3, 2006, involving five on-duty Chicago Police Department (CPD) officers (Officers A, B, C, D, and E) and one on-duty CPD commander (Commander F). It was alleged that Officer A, who was off-duty, directed profanity at the complainant and his son; pointed a weapon at the complainant and his son without justification; and twisted the complainants finger. It was also alleged that on August 13, 2009, Officer A provided an inaccurate statement to IPRA. In addition, it was alleged that Officers B, C, D, and E detained the complainant and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and improperly impounded the complainants vehicle. It was also alleged that Commander F detained the complainant without justification and improperly impounded the complainants vehicle. The complainant also filed a civil lawsuit in which he alleged that Officer A punched, slapped, kicked and kneed him and his son; detained him and his son without justification; and was intoxicated while off-duty. In the same lawsuit, the complainant also alleged that Officers B, C, D, and E detained him and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and properly impounded the complainants vehicle. In the same lawsuit, the complainant also alleged that Commander F detained him without justification and improperly impounded his vehicle. Based on statements from the accused officers, complainants, reports, audio-recordings and witnesses, IPRA recommended to SUSTAIN the allegations that Officer A directed profanity at the complainant and his son, and that he provided an inaccurate statement to IPRA. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A pointed a weapon at the complainant and his son; punched, slapped, kicked and kneed the complainant and his son; detained the complainant and his son without justification; properly impounded the complainants car; and twisted the complainants finger. Further, IPRA recommended a finding of UNFOUNDED for the allegation that Officer A was intoxicated while off-duty. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers B, C, D, and E detained the complainant and his son without justification and improperly impounded the complainants vehicle. Further, IPRA recommended to SUSTAIN the allegations that Officers B, C, D and E failed to perform a duty in that they left the complainants son, a minor, unattended when they took complainant into custody. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of UNFOUNDED for the allegation that Commander F detained the complainant without justification and improperly impounded his car. IPRA recommended that Officer A be suspended for sixty (60) days and that Officers B, C, D, and E each be suspended for three (3) days.",Police Officer,19,True,Use Of Force,Unnecessary Display Of Weapon / Off Duty,1,4
3,"On October 4, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a The Office of Professional Standards), regarding an incident occurring in the 8th District, on October 3, 2006, involving five on-duty Chicago Police Department (CPD) officers (Officers A, B, C, D, and E) and one on-duty CPD commander (Commander F). It was alleged that Officer A, who was off-duty, directed profanity at the complainant and his son; pointed a weapon at the complainant and his son without justification; and twisted the complainants finger. It was also alleged that on August 13, 2009, Officer A provided an inaccurate statement to IPRA. In addition, it was alleged that Officers B, C, D, and E detained the complainant and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and improperly impounded the complainants vehicle. It was also alleged that Commander F detained the complainant without justification and improperly impounded the complainants vehicle. The complainant also filed a civil lawsuit in which he alleged that Officer A punched, slapped, kicked and kneed him and his son; detained him and his son without justification; and was intoxicated while off-duty. In the same lawsuit, the complainant also alleged that Officers B, C, D, and E detained him and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and properly impounded the complainants vehicle. In the same lawsuit, the complainant also alleged that Commander F detained him without justification and improperly impounded his vehicle. Based on statements from the accused officers, complainants, reports, audio-recordings and witnesses, IPRA recommended to SUSTAIN the allegations that Officer A directed profanity at the complainant and his son, and that he provided an inaccurate statement to IPRA. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A pointed a weapon at the complainant and his son; punched, slapped, kicked and kneed the complainant and his son; detained the complainant and his son without justification; properly impounded the complainants car; and twisted the complainants finger. Further, IPRA recommended a finding of UNFOUNDED for the allegation that Officer A was intoxicated while off-duty. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers B, C, D, and E detained the complainant and his son without justification and improperly impounded the complainants vehicle. Further, IPRA recommended to SUSTAIN the allegations that Officers B, C, D and E failed to perform a duty in that they left the complainants son, a minor, unattended when they took complainant into custody. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of UNFOUNDED for the allegation that Commander F detained the complainant without justification and improperly impounded his car. IPRA recommended that Officer A be suspended for sixty (60) days and that Officers B, C, D, and E each be suspended for three (3) days.",Police Officer,15,True,Use Of Force,Unnecessary Display Of Weapon / Off Duty,1,4
4,"On October 4, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a The Office of Professional Standards), regarding an incident occurring in the 8th District, on October 3, 2006, involving five on-duty Chicago Police Department (CPD) officers (Officers A, B, C, D, and E) and one on-duty CPD commander (Commander F). It was alleged that Officer A, who was off-duty, directed profanity at the complainant and his son; pointed a weapon at the complainant and his son without justification; and twisted the complainants finger. It was also alleged that on August 13, 2009, Officer A provided an inaccurate statement to IPRA. In addition, it was alleged that Officers B, C, D, and E detained the complainant and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and improperly impounded the complainants vehicle. It was also alleged that Commander F detained the complainant without justification and improperly impounded the complainants vehicle. The complainant also filed a civil lawsuit in which he alleged that Officer A punched, slapped, kicked and kneed him and his son; detained him and his son without justification; and was intoxicated while off-duty. In the same lawsuit, the complainant also alleged that Officers B, C, D, and E detained him and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and properly impounded the complainants vehicle. In the same lawsuit, the complainant also alleged that Commander F detained him without justification and improperly impounded his vehicle. Based on statements from the accused officers, complainants, reports, audio-recordings and witnesses, IPRA recommended to SUSTAIN the allegations that Officer A directed profanity at the complainant and his son, and that he provided an inaccurate statement to IPRA. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A pointed a weapon at the complainant and his son; punched, slapped, kicked and kneed the complainant and his son; detained the complainant and his son without justification; properly impounded the complainants car; and twisted the complainants finger. Further, IPRA recommended a finding of UNFOUNDED for the allegation that Officer A was intoxicated while off-duty. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers B, C, D, and E detained the complainant and his son without justification and improperly impounded the complainants vehicle. Further, IPRA recommended to SUSTAIN the allegations that Officers B, C, D and E failed to perform a duty in that they left the complainants son, a minor, unattended when they took complainant into custody. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of UNFOUNDED for the allegation that Commander F detained the complainant without justification and improperly impounded his car. IPRA recommended that Officer A be suspended for sixty (60) days and that Officers B, C, D, and E each be suspended for three (3) days.",Police Officer,24,True,Use Of Force,Unnecessary Display Of Weapon / Off Duty,1,4
5,"On October 4, 2006, a complaint was registered with the Independent Police Review Authority (IPRA f/k/a The Office of Professional Standards), regarding an incident occurring in the 8th District, on October 3, 2006, involving five on-duty Chicago Police Department (CPD) officers (Officers A, B, C, D, and E) and one on-duty CPD commander (Commander F). It was alleged that Officer A, who was off-duty, directed profanity at the complainant and his son; pointed a weapon at the complainant and his son without justification; and twisted the complainants finger. It was also alleged that on August 13, 2009, Officer A provided an inaccurate statement to IPRA. In addition, it was alleged that Officers B, C, D, and E detained the complainant and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and improperly impounded the complainants vehicle. It was also alleged that Commander F detained the complainant without justification and improperly impounded the complainants vehicle. The complainant also filed a civil lawsuit in which he alleged that Officer A punched, slapped, kicked and kneed him and his son; detained him and his son without justification; and was intoxicated while off-duty. In the same lawsuit, the complainant also alleged that Officers B, C, D, and E detained him and his son without justification; failed to perform a duty in that they left the complainants son, a minor, unattended when they took the complainant into custody; and properly impounded the complainants vehicle. In the same lawsuit, the complainant also alleged that Commander F detained him without justification and improperly impounded his vehicle. Based on statements from the accused officers, complainants, reports, audio-recordings and witnesses, IPRA recommended to SUSTAIN the allegations that Officer A directed profanity at the complainant and his son, and that he provided an inaccurate statement to IPRA. Further, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officer A pointed a weapon at the complainant and his son; punched, slapped, kicked and kneed the complainant and his son; detained the complainant and his son without justification; properly impounded the complainants car; and twisted the complainants finger. Further, IPRA recommended a finding of UNFOUNDED for the allegation that Officer A was intoxicated while off-duty. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of NOT SUSTAINED for the allegations that Officers B, C, D, and E detained the complainant and his son without justification and improperly impounded the complainants vehicle. Further, IPRA recommended to SUSTAIN the allegations that Officers B, C, D and E failed to perform a duty in that they left the complainants son, a minor, unattended when they took complainant into custody. Based on statements from the accused officers, reports, and witnesses, IPRA recommended a finding of UNFOUNDED for the allegation that Commander F detained the complainant without justification and improperly impounded his car. IPRA recommended that Officer A be suspended for sixty (60) days and that Officers B, C, D, and E each be suspended for three (3) days.",Police Officer as Detective,23,True,Use Of Force,Unnecessary Display Of Weapon / Off Duty,1,4
7,"On 18 January 2007, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 12th District, involving thirteen (13) on-duty Chicago Police Department members. It was alleged that the accused members failed to provide police service on 15 December 2006. It was further alleged against a principally accused sergeant and two principally accused officers that they failed to conduct a license premises investigation as mandated by a CPD special order. IPRA recommended to SUSTAIN the first allegation that the members failed to provide police service after responding to a call for emergency assistance, against the principally accused sergeant and eight other accused officers. The investigation revealed that those members were at the location of the incident and failed to conduct an appropriate investigation as to the reason for the emergency assist call. IPRA recommended to NOT SUSTAIN this first allegation against the remaining four members as the evidence could neither prove nor disprove the allegation. IPRA recommended to SUSTAIN the second allegation against the principally accused sergeant and two accused members as the investigation revealed that each of them had spoken to witnesses at the scene and obtained information that a bar fight had transpired, but failed to conduct a license premises investigation. Further IPRA recommended a forty-five (45) day suspension for one of the accused officers, a twenty (20) day suspension for the accused sergeant and two accused officers, a five day (5) suspension for two accused officers, a three (3) day suspension for two accused officers, and a one (1) day suspension for a final accused officer.",Police Officer,23,True,Operation/Personnel Violations,Inadequate / Failure To Provide Service,0,0
9,"On 18 January 2007, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 12th District, involving thirteen (13) on-duty Chicago Police Department members. It was alleged that the accused members failed to provide police service on 15 December 2006. It was further alleged against a principally accused sergeant and two principally accused officers that they failed to conduct a license premises investigation as mandated by a CPD special order. IPRA recommended to SUSTAIN the first allegation that the members failed to provide police service after responding to a call for emergency assistance, against the principally accused sergeant and eight other accused officers. The investigation revealed that those members were at the location of the incident and failed to conduct an appropriate investigation as to the reason for the emergency assist call. IPRA recommended to NOT SUSTAIN this first allegation against the remaining four members as the evidence could neither prove nor disprove the allegation. IPRA recommended to SUSTAIN the second allegation against the principally accused sergeant and two accused members as the investigation revealed that each of them had spoken to witnesses at the scene and obtained information that a bar fight had transpired, but failed to conduct a license premises investigation. Further IPRA recommended a forty-five (45) day suspension for one of the accused officers, a twenty (20) day suspension for the accused sergeant and two accused officers, a five day (5) suspension for two accused officers, a three (3) day suspension for two accused officers, and a one (1) day suspension for a final accused officer.",Lieutenant of Police,30,True,Operation/Personnel Violations,Inadequate / Failure To Provide Service,0,0
10,"On 18 January 2007, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 12th District, involving thirteen (13) on-duty Chicago Police Department members. It was alleged that the accused members failed to provide police service on 15 December 2006. It was further alleged against a principally accused sergeant and two principally accused officers that they failed to conduct a license premises investigation as mandated by a CPD special order. IPRA recommended to SUSTAIN the first allegation that the members failed to provide police service after responding to a call for emergency assistance, against the principally accused sergeant and eight other accused officers. The investigation revealed that those members were at the location of the incident and failed to conduct an appropriate investigation as to the reason for the emergency assist call. IPRA recommended to NOT SUSTAIN this first allegation against the remaining four members as the evidence could neither prove nor disprove the allegation. IPRA recommended to SUSTAIN the second allegation against the principally accused sergeant and two accused members as the investigation revealed that each of them had spoken to witnesses at the scene and obtained information that a bar fight had transpired, but failed to conduct a license premises investigation. Further IPRA recommended a forty-five (45) day suspension for one of the accused officers, a twenty (20) day suspension for the accused sergeant and two accused officers, a five day (5) suspension for two accused officers, a three (3) day suspension for two accused officers, and a one (1) day suspension for a final accused officer.",Police Officer,14,True,Operation/Personnel Violations,Inadequate / Failure To Provide Service,0,0
12,"On 18 January 2007, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 12th District, involving thirteen (13) on-duty Chicago Police Department members. It was alleged that the accused members failed to provide police service on 15 December 2006. It was further alleged against a principally accused sergeant and two principally accused officers that they failed to conduct a license premises investigation as mandated by a CPD special order. IPRA recommended to SUSTAIN the first allegation that the members failed to provide police service after responding to a call for emergency assistance, against the principally accused sergeant and eight other accused officers. The investigation revealed that those members were at the location of the incident and failed to conduct an appropriate investigation as to the reason for the emergency assist call. IPRA recommended to NOT SUSTAIN this first allegation against the remaining four members as the evidence could neither prove nor disprove the allegation. IPRA recommended to SUSTAIN the second allegation against the principally accused sergeant and two accused members as the investigation revealed that each of them had spoken to witnesses at the scene and obtained information that a bar fight had transpired, but failed to conduct a license premises investigation. Further IPRA recommended a forty-five (45) day suspension for one of the accused officers, a twenty (20) day suspension for the accused sergeant and two accused officers, a five day (5) suspension for two accused officers, a three (3) day suspension for two accused officers, and a one (1) day suspension for a final accused officer.",Police Officer,26,True,Operation/Personnel Violations,Inadequate / Failure To Provide Service,0,0
13,"On 18 January 2007, a complaint was registered with the Independent Police Review Authority (IPRA, f/k/a Office of Professional Standards), regarding an incident occurring in the 12th District, involving thirteen (13) on-duty Chicago Police Department members. It was alleged that the accused members failed to provide police service on 15 December 2006. It was further alleged against a principally accused sergeant and two principally accused officers that they failed to conduct a license premises investigation as mandated by a CPD special order. IPRA recommended to SUSTAIN the first allegation that the members failed to provide police service after responding to a call for emergency assistance, against the principally accused sergeant and eight other accused officers. The investigation revealed that those members were at the location of the incident and failed to conduct an appropriate investigation as to the reason for the emergency assist call. IPRA recommended to NOT SUSTAIN this first allegation against the remaining four members as the evidence could neither prove nor disprove the allegation. IPRA recommended to SUSTAIN the second allegation against the principally accused sergeant and two accused members as the investigation revealed that each of them had spoken to witnesses at the scene and obtained information that a bar fight had transpired, but failed to conduct a license premises investigation. Further IPRA recommended a forty-five (45) day suspension for one of the accused officers, a twenty (20) day suspension for the accused sergeant and two accused officers, a five day (5) suspension for two accused officers, a three (3) day suspension for two accused officers, and a one (1) day suspension for a final accused officer.",Police Officer,14,True,Operation/Personnel Violations,Inadequate / Failure To Provide Service,0,0
